"Date","Price","Open","High","Low","Vol.","Change %"
"25-02-2025","1,204.00","1,211.00","1,221.00","1,201.50","11.55M","-0.87%"
"24-02-2025","1,214.55","1,216.55","1,223.25","1,210.50","7.17M","-1.11%"
"21-02-2025","1,228.15","1,228.70","1,240.00","1,222.15","6.90M","-0.39%"
"20-02-2025","1,233.00","1,223.95","1,239.35","1,222.00","7.80M","0.45%"
"19-02-2025","1,227.45","1,219.50","1,232.75","1,217.55","6.22M","0.17%"
"18-02-2025","1,225.40","1,224.85","1,229.90","1,216.10","6.67M","0.04%"
"17-02-2025","1,224.90","1,211.10","1,227.50","1,204.50","8.17M","0.63%"
"14-02-2025","1,217.25","1,219.00","1,224.00","1,205.45","10.30M","0.09%"
"13-02-2025","1,216.10","1,217.05","1,228.00","1,212.00","8.51M","-0.04%"
"12-02-2025","1,216.55","1,219.45","1,226.90","1,193.35","21.13M","-1.48%"
"11-02-2025","1,234.85","1,264.55","1,264.55","1,230.10","8.86M","-1.50%"
"10-02-2025","1,253.65","1,264.50","1,266.50","1,245.55","6.97M","-1.03%"
"07-02-2025","1,266.70","1,276.15","1,283.70","1,262.00","8.76M","-1.16%"
"06-02-2025","1,281.55","1,273.70","1,288.00","1,270.35","9.96M","0.26%"
"05-02-2025","1,278.20","1,282.65","1,290.50","1,276.70","10.11M","-0.54%"
"04-02-2025","1,285.20","1,248.05","1,288.80","1,246.60","16.69M","3.15%"
"03-02-2025","1,245.90","1,251.00","1,256.00","1,237.55","9.25M","-1.48%"
"01-02-2025","1,264.60","1,265.10","1,270.55","1,241.00","7.12M","-0.04%"
"31-01-2025","1,265.10","1,255.85","1,267.00","1,249.00","6.58M","0.96%"
"30-01-2025","1,253.05","1,235.55","1,257.00","1,232.40","9.27M","1.42%"
"29-01-2025","1,235.50","1,236.00","1,242.75","1,228.05","5.93M","0.09%"
"28-01-2025","1,234.40","1,238.00","1,244.75","1,218.50","10.57M","0.41%"
"27-01-2025","1,229.35","1,239.10","1,240.45","1,220.00","9.54M","-1.36%"
"24-01-2025","1,246.30","1,266.00","1,273.00","1,243.50","14.24M","-1.37%"
"23-01-2025","1,263.65","1,270.00","1,277.35","1,261.60","8.72M","-1.05%"
"22-01-2025","1,277.10","1,278.30","1,282.90","1,268.70","10.27M","0.27%"
"21-01-2025","1,273.70","1,310.50","1,313.00","1,270.20","14.56M","-2.43%"
"20-01-2025","1,305.45","1,316.00","1,316.00","1,300.25","14.04M","0.24%"
"17-01-2025","1,302.35","1,322.25","1,326.00","1,285.00","29.37M","2.83%"
"16-01-2025","1,266.45","1,258.90","1,275.00","1,251.30","14.12M","1.14%"
"15-01-2025","1,252.20","1,244.95","1,257.00","1,241.85","9.58M","1.09%"
"14-01-2025","1,238.75","1,244.10","1,253.35","1,227.25","13.10M","-0.09%"
"13-01-2025","1,239.85","1,230.00","1,245.25","1,226.40","13.76M","-0.17%"
"10-01-2025","1,241.90","1,253.85","1,256.75","1,236.00","8.12M","-1.02%"
"09-01-2025","1,254.75","1,267.00","1,269.75","1,248.05","12.79M","-0.85%"
"08-01-2025","1,265.50","1,249.00","1,271.05","1,245.35","19.35M","1.99%"
"07-01-2025","1,240.85","1,222.00","1,244.50","1,221.25","10.07M","1.88%"
"06-01-2025","1,218.00","1,253.95","1,262.00","1,215.00","14.82M","-2.65%"
"03-01-2025","1,251.15","1,243.90","1,262.05","1,235.50","15.52M","0.75%"
"02-01-2025","1,241.80","1,221.25","1,244.45","1,220.00","15.49M","1.68%"
"01-01-2025","1,221.25","1,214.85","1,226.30","1,211.60","5.89M","0.48%"
