"stock_date";"stock_price";"stock_open";"stock_high";"stock_low";"stock_volume";"stock_change";"Volatility_7";"MA_7";"daily_return"
"2025-01-03";1251.15;1243.9;1262.05;1235.5;15520000.0;0.75;0.551283;1225.42;0.752937
"2025-01-02";1241.8;1221.25;1244.45;1220.0;15490000.0;1.68;0.632505;1221.36;1.68271
"2025-01-01";1221.25;1214.85;1226.3;1211.6;5890000.0;0.48;0.193756;1218.58;0.477194
"2024-12-31";1215.45;1208.0;1219.1;1206.15;6410000.0;0.39;1.16654;1216.3;0.392335
"2024-12-30";1210.7;1216.4;1223.2;1208.1;8820000.0;-0.85;1.24349;1218.44;0.0
"2024-12-27";1221.05;1218.3;1227.9;1217.0;7000000.0;0.37;1.26934;1224.52;0.369898
"2024-12-26";1216.55;1224.25;1227.7;1214.25;10020000.0;-0.51;1.24319;1227.99;0.0
"2024-12-24";1222.75;1222.3;1233.55;1221.0;6730000.0;0.04;1.24319;1235.38;0.0368118
"2024-12-23";1222.3;1215.0;1227.2;1213.2;10050000.0;1.41;1.43101;1242.54;0.0
"2024-12-20";1205.3;1224.0;1239.5;1201.5;20310000.0;-2.04;1.28775;1248.34;-2.04396
"2024-12-19";1230.45;1239.0;1244.9;1229.0;14240000.0;-1.82;1.16318;1258.75;-1.81927
"2024-12-18";1253.25;1240.65;1259.95;1240.65;12670000.0;0.64;1.02481;1266.52;0.638396
"2024-12-17";1245.3;1261.05;1263.9;1242.8;17460000.0;-1.81;0.967293;1272.51;-1.81345
"2024-12-16";1268.3;1275.0;1281.0;1266.55;9490000.0;-0.36;0.761315;1281.97;0.0
"2024-12-13";1272.85;1260.0;1275.2;1239.6;28630000.0;0.79;0.916901;1289.65;0.787865
"2024-12-12";1262.9;1270.0;1278.2;1260.6;20910000.0;-1.2;0.80359;1294.81;-1.19699
"2024-12-11";1278.2;1285.0;1290.0;1276.05;11720000.0;-0.52;0.966611;1303.44;-0.517572
"2024-12-10";1284.85;1289.25;1294.9;1280.2;16040000.0;-0.8;1.06524;1307.86;-0.795278
"2024-12-09";1295.15;1303.0;1315.0;1293.1;14650000.0;-1.25;1.23493;1308.91;0.0
"2024-12-06";1311.55;1323.9;1323.9;1310.0;9040000.0;-0.79;1.40062;1305.43;-0.794221
"2024-12-05";1322.05;1314.35;1329.95;1306.15;16860000.0;1.0;1.35084;1302.81;1.00081
"2024-12-04";1308.95;1326.0;1328.4;1304.05;19610000.0;-1.08;1.31479;1299.04;-1.08442
"2024-12-03";1323.3;1317.0;1326.8;1307.0;16870000.0;1.08;1.32655;1295.91;1.08086
"2024-12-02";1309.15;1288.0;1311.35;1277.05;11020000.0;1.31;1.95607;1287.64;0.0
"2024-11-29";1292.2;1280.0;1299.5;1275.25;13200000.0;1.68;1.95607;1275.33;1.68397
"2024-11-28";1270.8;1289.95;1296.6;1269.05;15030000.0;-1.73;2.10417;1268.11;-1.73213
"2024-11-27";1293.2;1293.5;1303.85;1286.0;9570000.0;-0.19;2.10763;1266.67;-0.192946
"2024-11-26";1295.7;1294.95;1297.85;1284.2;9250000.0;0.68;2.04694;1263.01;0.675987
"2024-11-25";1287.0;1290.0;1304.45;1282.45;28920000.0;1.71;2.47422;1256.78;0.0
"2024-11-22";1265.4;1229.4;1268.85;1222.45;20470000.0;3.47;2.47422;1254.96;3.46689
"2024-11-21";1223.0;1241.65;1243.95;1217.25;19430000.0;-1.5;1.6612;1253.22;0.0
"2024-11-19";1241.65;1260.75;1281.5;1235.15;14180000.0;-1.51;1.6612;1259.26;-1.51497
"2024-11-18";1260.75;1267.6;1272.9;1243.9;13620000.0;-0.54;2.11012;1263.66;0.0
"2024-11-14";1267.6;1253.6;1272.6;1251.1;12610000.0;1.24;2.11012;1264.63;1.24196
"2024-11-13";1252.05;1270.25;1275.45;1249.5;14630000.0;-1.74;0.0;1263.15;-1.7422
"2024-11-12";1274.25;1275.55;1289.3;1267.5;10670000.0;0.12;0.0;1274.25;0.0
